,I1_low_value,I2_low_value,Vgrid,Igrid,local_vgrid,local_igrid,duty_cycle,duty_cycle_1,duty_cycle_2,Vdc,Vd_ref,Vd_in,Vq_in,Id_in,Vd_out,omega,state
0,-2.2580666542053223,2.6075048446655273,-14.349882125854492,-2.2580666542053223,11.154267311096191,1.115426778793335,0.1871497631072998,0.1871497631072998,0.8128502368927002,29.779130935668945,12.0,11.830584526062012,-3.221569776535034,1.742783784866333,42.0,314.1592712402344,1.0
1,-2.4908392429351807,2.8450732231140137,-15.885978698730469,-2.4908392429351807,11.009739875793457,1.1009739637374878,0.1647408902645111,0.1647408902645111,0.8352590799331665,29.77916145324707,12.0,11.83286190032959,-3.5489754676818848,1.7431265115737915,42.0,314.1592712402344,1.0
2,-2.66884183883667,3.045686721801758,-17.382564544677734,-2.66884183883667,10.85448932647705,1.085448980331421,0.14265567064285278,0.14265567064285278,0.8573443293571472,29.779430389404297,12.0,11.835206031799316,-3.8627641201019287,1.743472933769226,42.0,314.1592712402344,1.0
3,-2.760125160217285,3.077362537384033,-18.874807357788086,-2.760125160217285,10.688299179077148,1.068829894065857,0.12117230892181396,0.12117230892181396,0.878827691078186,29.779430389404297,12.0,11.837613105773926,-4.185917854309082,1.7438105344772339,42.0,314.1592712402344,1.0
4,-3.070488691329956,3.346606731414795,-19.960107803344727,-3.070488691329956,10.511871337890625,1.0511871576309204,0.09961116313934326,0.10000000149011612,0.8999999761581421,29.779460906982422,12.0,11.840024948120117,-4.208872318267822,1.744170904159546,42.0,314.1592712402344,1.0
5,-3.2302348613739014,3.457472085952759,-20.409717559814453,-3.2302348613739014,10.324700355529785,1.0324699878692627,0.07853958010673523,0.10000000149011612,0.8999999761581421,29.77937126159668,12.0,11.842354774475098,-3.7273848056793213,1.7445322275161743,42.0,314.1592712402344,1.0
6,-3.0294113159179688,3.3782825469970703,-21.178951263427734,-3.0294113159179688,10.127622604370117,1.0127623081207275,0.05927017331123352,0.10000000149011612,0.8999999761581421,29.779401779174805,12.0,11.844653129577637,-3.5308897495269775,1.7448461055755615,42.0,314.1592712402344,1.0
7,-2.9883337020874023,3.2726964950561523,-21.269031524658203,-2.9883337020874023,9.920376777648926,0.9920376539230347,0.0411565899848938,0.10000000149011612,0.8999999761581421,29.779342651367188,12.0,11.846835136413574,-2.7407186031341553,1.745137333869934,42.0,314.1592712402344,1.0
8,-3.1070022583007812,3.341327428817749,-21.313674926757812,-3.1070022583007812,9.703432083129883,0.9703432321548462,0.02357366681098938,0.10000000149011612,0.8999999761581421,29.779342651367188,12.0,11.848905563354492,-1.928239107131958,1.7454283237457275,42.0,314.1592712402344,1.0
9,-3.152643918991089,3.346606731414795,-20.8166561126709,-3.152643918991089,9.476920127868652,0.9476920366287231,0.00683179497718811,0.10000000149011612,0.8999999761581421,29.77928352355957,12.0,11.85080623626709,-0.6112784743309021,1.7457102537155151,42.0,314.1592712402344,1.0
10,-3.138951301574707,3.3624446392059326,-21.08768653869629,-3.138951301574707,9.240970611572266,0.9240970611572266,-0.008905231952667236,0.10000000149011612,0.8999999761581421,29.779253005981445,12.0,11.852645874023438,-0.107760488986969,1.7459768056869507,42.0,314.1592712402344,1.0
11,-3.0111546516418457,3.3730032444000244,-21.404150009155273,-3.0111546516418457,8.996076583862305,0.8996076583862305,-0.023217439651489258,0.10000000149011612,0.8999999761581421,29.779253005981445,12.0,11.854436874389648,0.3210109770298004,1.7462159395217896,42.0,314.1592712402344,1.0
12,-3.0431036949157715,3.2674171924591064,-20.67877197265625,-3.0431036949157715,8.74206256866455,0.8742062449455261,-0.036809682846069336,0.10000000149011612,0.8999999761581421,29.779163360595703,12.0,11.856064796447754,1.8572208881378174,1.7464485168457031,42.0,314.1592712402344,1.0
13,-3.0796170234680176,3.3730032444000244,-21.27021598815918,-3.0796170234680176,8.47967529296875,0.8479675054550171,-0.04974848031997681,0.10000000149011612,0.8999999761581421,29.77907371520996,12.0,11.857691764831543,1.8595298528671265,1.7466760873794556,42.0,314.1592712402344,1.0
14,-3.052232027053833,3.3730032444000244,-20.771221160888672,-3.052232027053833,8.208671569824219,0.8208671808242798,-0.061790287494659424,0.10000000149011612,0.8999999761581421,29.779132843017578,12.0,11.859201431274414,3.103346347808838,1.7468923330307007,42.0,314.1592712402344,1.0
15,-3.102437973022461,3.3624446392059326,-21.268239974975586,-3.102437973022461,7.929743766784668,0.7929743528366089,-0.07331949472427368,0.10000000149011612,0.8999999761581421,29.779163360595703,12.0,11.860711097717285,3.1044328212738037,1.7471065521240234,42.0,314.1592712402344,1.0
16,-3.0567963123321533,3.3730032444000244,-21.36069107055664,-3.0567963123321533,7.642900466918945,0.7642900347709656,-0.08398079872131348,0.10000000149011612,0.8999999761581421,29.779014587402344,12.0,11.862181663513184,3.574864149093628,1.747309684753418,42.0,314.1592712402344,1.0
17,-3.0385396480560303,3.3096516132354736,-21.089265823364258,-3.0385396480560303,7.348541259765625,0.7348541021347046,-0.09392976760864258,0.10000000149011612,0.8999999761581421,29.77898406982422,12.0,11.8635835647583,4.4629645347595215,1.7475056648254395,42.0,314.1592712402344,1.0
18,-3.070488691329956,3.394120454788208,-20.58829689025879,-3.070488691329956,7.046978950500488,0.7046979069709778,-0.10338366031646729,0.10000000149011612,0.8999999761581421,29.778953552246094,12.0,11.864903450012207,5.593359470367432,1.7477000951766968,42.0,314.1592712402344,1.0
19,-3.0933096408843994,3.388841152191162,-20.949405670166016,-3.0933096408843994,6.738356590270996,0.6738356351852417,-0.1123877763748169,0.10000000149011612,0.8999999761581421,29.778953552246094,12.0,11.866228103637695,5.525970935821533,1.7478926181793213,42.0,314.1592712402344,1.0
20,-3.015718698501587,3.3730032444000244,-21.313674926757812,-3.015718698501587,6.423252582550049,0.6423252820968628,-0.12058329582214355,0.10000000149011612,0.8999999761581421,29.77892303466797,12.0,11.867559432983398,5.424530506134033,1.748075246810913,42.0,314.1592712402344,1.0
21,-2.997462034225464,3.383561849594116,-20.679561614990234,-2.997462034225464,6.101596832275391,0.610159695148468,-0.12825453281402588,0.10000000149011612,0.8999999761581421,29.779041290283203,12.0,11.868816375732422,6.6618428230285645,1.7482538223266602,42.0,314.1592712402344,1.0
22,-3.0385396480560303,3.441634178161621,-20.90555191040039,-3.0385396480560303,5.774099826812744,0.5774099826812744,-0.13564085960388184,0.10000000149011612,0.8999999761581421,29.779010772705078,12.0,11.870075225830078,6.625431537628174,1.7484337091445923,42.0,314.1592712402344,1.0
23,-3.0431036949157715,3.383561849594116,-20.77082633972168,-3.0431036949157715,5.440767765045166,0.5440768003463745,-0.14263463020324707,0.10000000149011612,0.8999999761581421,29.779129028320312,12.0,11.871312141418457,7.06744909286499,1.748612403869629,42.0,314.1592712402344,1.0
24,-3.1070022583007812,3.446913480758667,-21.177370071411133,-3.1070022583007812,5.1021528244018555,0.5102152824401855,-0.14943909645080566,0.10000000149011612,0.8999999761581421,29.77918815612793,12.0,11.872567176818848,6.679163932800293,1.7487943172454834,42.0,314.1592712402344,1.0
25,-3.0065903663635254,3.3782825469970703,-20.906341552734375,-3.0065903663635254,4.758476257324219,0.47584763169288635,-0.15556436777114868,0.10000000149011612,0.8999999761581421,29.779129028320312,12.0,11.873796463012695,7.258779048919678,1.7489689588546753,42.0,314.1592712402344,1.0
26,-3.065924644470215,3.351886034011841,-20.725786209106445,-3.065924644470215,4.410091400146484,0.44100913405418396,-0.16152572631835938,0.10000000149011612,0.8999999761581421,29.778980255126953,12.0,11.87501049041748,7.646440029144287,1.7491466999053955,42.0,314.1592712402344,1.0
27,-3.1115663051605225,3.399399757385254,-21.268634796142578,-3.1115663051605225,4.057408809661865,0.405740886926651,-0.1672513484954834,0.10000000149011612,0.8999999761581421,29.77889060974121,12.0,11.876252174377441,6.89849853515625,1.749326467514038,42.0,314.1592712402344,1.0
28,-3.0294113159179688,3.2621378898620605,-21.17697525024414,-3.0294113159179688,3.7006359100341797,0.3700636029243469,-0.1724635362625122,0.10000000149011612,0.8999999761581421,29.778770446777344,12.0,11.877486228942871,7.103057384490967,1.7495020627975464,42.0,314.1592712402344,1.0
29,-3.088745594024658,3.383561849594116,-21.223594665527344,-3.088745594024658,3.3403186798095703,0.334031879901886,-0.17746341228485107,0.10000000149011612,0.8999999761581421,29.77880096435547,12.0,11.878721237182617,7.049813747406006,1.749680519104004,42.0,314.1592712402344,1.0
30,-3.0978739261627197,3.3730032444000244,-21.087291717529297,-3.0978739261627197,2.9765875339508057,0.2976587414741516,-0.18216818571090698,0.10000000149011612,0.8999999761581421,29.77859115600586,12.0,11.879951477050781,7.2425456047058105,1.7498594522476196,42.0,314.1592712402344,1.0
31,-3.0385396480560303,3.3571653366088867,-21.17816162109375,-3.0385396480560303,2.6100029945373535,0.26100030541419983,-0.18644016981124878,0.10000000149011612,0.8999999761581421,29.778411865234375,12.0,11.881186485290527,7.035348892211914,1.750036597251892,42.0,314.1592712402344,1.0
32,-3.0111546516418457,3.4627513885498047,-21.270610809326172,-3.0111546516418457,2.2407941818237305,0.2240794152021408,-0.19037681818008423,0.10000000149011612,0.8999999761581421,29.77838134765625,12.0,11.882426261901855,6.795863151550293,1.750213384628296,42.0,314.1592712402344,1.0
33,-3.1070022583007812,3.3782825469970703,-20.679956436157227,-3.1070022583007812,1.8693993091583252,0.18693992495536804,-0.19410520792007446,0.10000000149011612,0.8999999761581421,29.778261184692383,12.0,11.883652687072754,7.601911544799805,1.750393033027649,42.0,314.1592712402344,1.0
34,-3.0248470306396484,3.336048126220703,-20.90752601623535,-3.0248470306396484,1.4961591958999634,0.14961591362953186,-0.19740432500839233,0.10000000149011612,0.8999999761581421,29.778230667114258,12.0,11.884886741638184,7.040403366088867,1.7505712509155273,42.0,314.1592712402344,1.0
